gene_symbol,mean_normal,mean_tumor,std_normal,std_tumor,log2FC,pvalue,n_samples,padj
IDO1,4.17,5.27,0.75,1.78,0.338,0.0064,25,0.0154
LTBP4,5.09,4.03,0.51,0.51,-0.337,1.25e-06,25,8.53e-06
TCEAL3 /// TCEAL6,7.05,5.58,1.34,1.15,-0.337,0.0014,25,0.0040
GATM,4.73,3.75,0.84,0.88,-0.337,3.14e-04,25,0.0011
RHOU,7.22,5.72,0.58,0.68,-0.337,3.13e-09,25,4.72e-08
EFHD1,3.72,2.94,0.54,0.57,-0.337,1.14e-04,25,4.55e-04
PARM1,9.7,7.68,1.0,0.97,-0.337,1.33e-06,25,8.98e-06
RELN,3.42,2.71,0.32,0.25,-0.337,4.01e-08,25,4.28e-07
C21orf45,5.24,6.61,0.49,0.54,0.337,8.22e-12,25,3.44e-10
SMC2,5.33,6.73,0.41,0.45,0.337,7.37e-12,25,3.15e-10
KCNN4,6.15,7.77,0.76,1.23,0.337,8.67e-06,25,4.64e-05
PPPDE2,5.34,6.74,0.39,0.5,0.337,1.50e-12,25,9.26e-11
ETV5,3.23,4.08,0.27,0.99,0.336,6.38e-04,25,0.0020
FHL5,3.46,2.74,0.72,0.21,-0.336,3.13e-04,25,0.0011
GNL3,6.24,7.87,0.4,0.38,0.336,2.60e-14,25,4.71e-12
CBLN2,3.13,2.48,0.38,0.16,-0.336,1.47e-08,25,1.83e-07
FMN2,2.96,2.34,0.49,0.17,-0.336,5.25e-06,25,3.00e-05
HCFC2,4.71,3.73,0.66,0.36,-0.336,1.89e-06,25,1.22e-05
RGS16,3.33,4.2,0.63,0.54,0.336,1.85e-04,25,6.93e-04
NUP210,3.06,3.87,0.27,0.35,0.336,1.27e-09,25,2.22e-08
GPR172A,5.17,6.52,0.5,0.69,0.336,6.49e-09,25,8.89e-08
GALK1,3.53,4.46,0.2,0.4,0.336,5.47e-12,25,2.51e-10
HBB /// HBD,12.03,9.53,1.2,1.36,-0.336,4.50e-07,25,3.54e-06
C12orf11,5.76,7.27,0.29,0.58,0.336,1.43e-13,25,1.55e-11
SLC23A1,3.63,2.88,0.63,0.48,-0.336,0.0011,25,0.0032
MOGAT2,4.27,3.38,0.59,0.34,-0.335,3.72e-06,25,2.22e-05
DHX37,3.84,4.84,0.37,0.36,0.335,1.25e-08,25,1.58e-07
OXGR1,2.66,3.36,0.29,1.01,0.335,0.0035,25,0.0091
NDRG3,4.54,5.73,0.16,0.6,0.335,7.03e-09,25,9.49e-08
PRDM6,3.56,2.82,0.79,0.38,-0.335,7.99e-04,25,0.0025
MPPED2,2.93,2.32,0.83,0.15,-0.335,0.0015,25,0.0044
PRICKLE1,4.16,3.3,0.85,0.94,-0.335,0.0050,25,0.0124
ITGB1BP2,3.24,2.57,1.16,0.23,-0.334,0.0136,25,0.0298
POLR1C,4.01,5.06,0.31,0.26,0.334,1.12e-13,25,1.33e-11
TMTC4,4.32,5.45,0.37,0.54,0.334,1.27e-09,25,2.21e-08
NARS2,5.39,6.79,0.43,0.5,0.334,5.37e-11,25,1.57e-09
TIMM8A,3.77,4.76,0.19,0.46,0.334,4.50e-10,25,9.26e-09
TMEM108,3.05,2.42,0.57,0.15,-0.334,6.43e-06,25,3.58e-05
KLRC1,4.85,3.85,0.87,0.97,-0.334,4.48e-04,25,0.0015
COL7A1,4.03,5.08,0.41,0.82,0.334,2.76e-07,25,2.33e-06
SELP,4.1,3.25,0.69,0.67,-0.334,1.10e-04,25,4.39e-04
MOBKL2B,8.05,6.39,0.67,0.67,-0.334,4.95e-08,25,5.13e-07
WFS1,3.68,4.64,0.87,0.97,0.334,0.0036,25,0.0094
KLK8 /// KLK9,2.64,3.32,0.19,0.82,0.334,4.17e-04,25,0.0014
GNPDA1,5.1,6.43,0.25,0.48,0.334,2.12e-11,25,7.38e-10
QPCT,5.6,7.05,1.16,1.12,0.334,2.14e-05,25,1.03e-04
ARRB1,5.79,4.6,0.38,0.76,-0.334,1.18e-08,25,1.50e-07
STBD1,4.32,3.43,0.37,0.29,-0.334,7.39e-10,25,1.40e-08
C12orf36,6.32,5.01,1.39,1.18,-0.334,0.0021,25,0.0059
GCSH,4.49,5.66,0.46,0.61,0.334,2.51e-09,25,3.91e-08
TXLNG,4.43,5.58,0.23,0.54,0.334,2.37e-10,25,5.43e-09
ZIC5,2.46,3.1,0.11,0.99,0.333,0.0049,25,0.0122
NOP58,6.52,8.22,0.46,0.31,0.333,6.71e-18,25,2.24e-14
MTL5,2.95,3.72,0.21,0.47,0.333,3.60e-07,25,2.91e-06
CLIC2,3.79,3.01,0.46,0.36,-0.333,5.81e-06,25,3.27e-05
BCL2L1,3.75,4.72,0.27,0.71,0.333,5.99e-07,25,4.54e-06
STIP1,4.87,6.14,0.32,0.67,0.333,3.82e-09,25,5.58e-08
SIGMAR1,5.27,6.63,0.28,0.5,0.333,1.21e-11,25,4.64e-10
ZNHIT2,3.17,3.99,0.18,0.44,0.333,7.82e-09,25,1.05e-07
SERPINA3,4.9,3.89,1.06,1.35,-0.333,0.0136,25,0.0299
ZNF142,3.7,4.66,0.2,0.5,0.332,5.49e-09,25,7.67e-08
PRPS1,5.71,7.19,0.61,0.72,0.332,2.08e-08,25,2.46e-07
LOC100288114,3.36,2.67,0.74,0.31,-0.332,8.62e-04,25,0.0027
NEDD9,6.55,5.21,0.59,0.83,-0.332,8.63e-07,25,6.23e-06
RIBC2,2.65,3.33,0.53,0.89,0.332,0.0030,25,0.0079
DSN1,6.98,8.78,0.3,0.64,0.332,1.62e-13,25,1.70e-11
DLEU2,2.8,3.53,0.18,0.43,0.332,1.65e-08,25,2.01e-07
HM13,5.62,7.07,0.29,0.65,0.332,9.71e-11,25,2.58e-09
KIAA0513,4.19,3.33,0.22,0.34,-0.332,4.16e-11,25,1.28e-09
KDELC1,4.28,5.39,0.47,0.64,0.332,1.64e-06,25,1.08e-05
EPHA3,3.13,2.49,0.51,0.43,-0.332,1.02e-04,25,4.11e-04
SLC2A1,4.94,6.21,0.54,0.81,0.331,1.21e-07,25,1.13e-06
CENPO,3.81,4.8,0.33,0.52,0.331,5.12e-07,25,3.96e-06
ZNF880,3.47,2.76,0.68,0.34,-0.331,1.48e-04,25,5.71e-04
VAMP5,6.68,5.31,0.86,1.14,-0.331,2.25e-04,25,8.21e-04
SLC35C2,4.98,6.26,0.26,0.58,0.331,1.89e-11,25,6.70e-10
FSIP1,4.38,3.48,0.51,0.49,-0.331,1.62e-05,25,8.06e-05
STAB1,5.29,4.21,0.32,0.42,-0.331,1.41e-09,25,2.42e-08
LRRC6,3.21,4.03,0.39,0.84,0.331,4.74e-04,25,0.0016
PHF19,3.81,4.79,0.37,0.33,0.331,1.47e-11,25,5.47e-10
FAM50B,5.16,4.1,0.8,1.42,-0.33,0.0030,25,0.0080
ZAK,4.94,6.21,1.2,0.5,0.33,1.68e-04,25,6.36e-04
LRFN4,4.11,5.17,0.3,0.53,0.33,2.81e-08,25,3.17e-07
ATAD3A,5.48,6.89,0.36,0.49,0.33,6.03e-14,25,8.50e-12
GNB1L,2.79,3.51,0.18,0.5,0.33,3.47e-07,25,2.83e-06
WDHD1,2.81,3.53,0.18,0.43,0.33,2.05e-07,25,1.78e-06
CIRH1A,6.36,7.99,0.74,0.29,0.33,2.28e-11,25,7.81e-10
FAM134B,9.23,7.35,0.82,1.11,-0.33,3.63e-06,25,2.17e-05
RARRES3,6.23,4.95,0.63,1.06,-0.33,6.51e-05,25,2.75e-04
GAD1,2.28,2.86,0.1,0.55,0.33,3.08e-05,25,1.42e-04
NUP37,5.49,6.89,0.46,0.51,0.33,1.42e-13,25,1.54e-11
C1QTNF9 /// SPATA13,2.67,2.12,0.57,0.19,-0.33,1.26e-04,25,4.95e-04
KLK8,2.4,3.02,0.16,0.64,0.33,1.03e-04,25,4.13e-04
NFXL1,5.63,7.08,0.44,0.53,0.33,1.80e-10,25,4.29e-09
RFWD3,3.07,3.86,0.24,0.28,0.33,5.82e-11,25,1.68e-09
NUP35,5.08,6.39,0.45,0.42,0.329,5.71e-13,25,4.29e-11
PPP1R12C,5.63,4.48,0.94,0.49,-0.329,2.65e-05,25,1.25e-04
MS4A6A,5.75,4.57,0.79,1.12,-0.329,0.0011,25,0.0033
C15orf52,4.17,3.32,0.54,0.46,-0.329,1.59e-05,25,7.91e-05
ASXL1,4.18,5.25,0.21,0.57,0.329,5.04e-09,25,7.12e-08
MYC,8.52,10.71,0.69,0.76,0.329,6.17e-10,25,1.20e-08
ZNF549,3.74,2.97,0.54,0.61,-0.329,1.57e-05,25,7.82e-05
SLC25A20,6.95,5.53,0.51,0.65,-0.329,1.20e-07,25,1.13e-06
TRAP1,6.88,8.64,0.41,0.38,0.329,1.56e-14,25,3.30e-12
NSUN5,5.23,6.57,0.21,0.47,0.328,2.58e-14,25,4.71e-12
TBC1D10A,6.19,4.93,0.37,0.59,-0.328,7.21e-11,25,2.01e-09
FCN1,3.41,2.72,1.13,0.56,-0.328,0.0201,25,0.0420
RARRES2,9.32,7.42,1.07,1.33,-0.328,3.24e-05,25,1.49e-04
VIPR1,4.65,3.7,0.65,0.35,-0.328,1.11e-05,25,5.76e-05
AREG,6.27,7.87,1.49,1.9,0.328,0.0027,25,0.0073
NAV3,3.33,2.65,0.47,0.28,-0.328,5.39e-06,25,3.07e-05
PRPF6,5.2,6.53,0.35,0.86,0.328,4.06e-08,25,4.33e-07
TNNI3,2.18,2.73,0.15,0.63,0.328,7.66e-04,25,0.0024
OTC,3.92,3.13,0.91,1.23,-0.328,0.0118,25,0.0263
CCL13,5.3,4.22,0.84,0.81,-0.327,2.28e-04,25,8.32e-04
CLEC9A,2.96,2.36,0.48,0.19,-0.327,3.39e-06,25,2.05e-05
WSCD1,4.95,3.95,0.57,0.3,-0.327,2.96e-07,25,2.47e-06
PLIN4,3.5,2.79,0.72,0.18,-0.327,3.52e-05,25,1.60e-04
SDCCAG3,5.04,6.32,0.36,0.37,0.327,9.38e-15,25,2.29e-12
WFDC1,7.47,5.96,1.71,1.28,-0.327,9.10e-04,25,0.0028
CDKN1A,9.36,7.46,0.77,0.71,-0.326,4.98e-09,25,7.06e-08
GSG2,2.88,3.61,0.28,0.49,0.326,8.55e-07,25,6.19e-06
EDAR,2.85,3.57,0.2,0.73,0.326,7.38e-05,25,3.08e-04
RHOH,4.48,3.58,1.06,0.72,-0.326,0.0027,25,0.0072
TCEAL5,3.13,2.49,0.63,0.2,-0.326,4.59e-05,25,2.02e-04
L1CAM,4.9,3.91,0.7,0.8,-0.325,3.63e-04,25,0.0013
CKS1B,5.91,7.4,0.37,0.66,0.325,2.10e-10,25,4.92e-09
LPCAT1,5.48,6.86,0.5,0.91,0.325,1.40e-06,25,9.40e-06
ABCA10,3.92,3.13,0.21,0.25,-0.325,4.30e-12,25,2.06e-10
FUCA1,8.62,6.88,0.82,0.68,-0.325,1.42e-08,25,1.77e-07
C3orf70,5.42,4.33,0.75,0.77,-0.325,1.03e-04,25,4.15e-04
LRRC4C,3.18,2.54,0.73,0.25,-0.325,8.65e-04,25,0.0027
TEK,4.2,3.35,0.43,0.41,-0.324,3.51e-07,25,2.85e-06
SMYD5,3.13,3.91,0.23,0.34,0.324,6.54e-10,25,1.27e-08
SHE,3.53,2.82,0.37,0.22,-0.324,2.77e-07,25,2.34e-06
ZFP2,3.05,2.43,0.64,0.28,-0.324,3.31e-05,25,1.52e-04
POLD1,4.34,5.43,0.47,0.53,0.324,2.08e-09,25,3.34e-08
LDB2,4.72,3.77,0.58,0.6,-0.324,1.88e-05,25,9.16e-05
DHRS1,6.77,5.41,0.59,0.74,-0.324,5.87e-09,25,8.13e-08
ATP6V1E2,3.23,4.05,0.31,0.44,0.324,2.08e-07,25,1.81e-06
POLR2D,3.85,4.82,0.21,0.44,0.324,4.02e-11,25,1.25e-09
DENND2A,4.8,3.83,0.36,0.42,-0.324,1.32e-08,25,1.67e-07
ITPR1,4.9,3.92,0.85,0.47,-0.324,1.26e-04,25,4.95e-04
FGFR1,4.65,3.72,0.89,0.57,-0.324,6.87e-04,25,0.0022
C14orf28,5.57,4.45,0.53,0.38,-0.324,2.70e-11,25,8.98e-10
EFHC2,3.17,2.54,0.21,0.61,-0.323,4.17e-05,25,1.86e-04
GRB7,3.61,4.51,0.53,0.66,0.323,6.07e-05,25,2.59e-04
PAK3,3.39,2.71,0.35,0.19,-0.323,2.50e-08,25,2.87e-07
PMEPA1,6.65,8.31,0.47,1.17,0.323,8.97e-07,25,6.42e-06
ATR,4.84,6.05,0.31,0.38,0.323,8.74e-12,25,3.63e-10
NCAPH,3.13,3.91,0.29,0.3,0.323,1.65e-09,25,2.73e-08
ACACB,3.89,3.11,0.34,0.22,-0.323,8.40e-10,25,1.56e-08
RASD2,4.19,3.35,0.74,0.56,-0.323,2.53e-04,25,9.07e-04
TFDP1,4.47,5.59,0.25,0.63,0.323,3.16e-09,25,4.76e-08
KCNQ1,5.58,6.98,0.59,0.79,0.323,1.84e-07,25,1.62e-06
TRAIP,2.79,3.49,0.18,0.32,0.322,2.03e-09,25,3.27e-08
DBR1,3.92,4.9,0.49,0.43,0.322,2.77e-09,25,4.26e-08
NPR1,3.64,2.91,0.65,0.14,-0.322,1.13e-05,25,5.87e-05
TIGD1,3.55,4.44,0.46,0.78,0.322,5.64e-05,25,2.43e-04
SCHIP1,5.65,4.52,1.67,0.72,-0.322,0.0094,25,0.0216
STOM,6.17,4.93,0.84,0.76,-0.322,7.69e-05,25,3.20e-04
MAGOHB,4.02,5.03,0.33,0.38,0.322,3.74e-12,25,1.85e-10
ZNF367,2.94,3.67,0.22,0.26,0.322,5.10e-11,25,1.51e-09
BDKRB2,3.67,2.94,0.57,0.29,-0.322,5.41e-07,25,4.16e-06
XKR9,3.35,4.19,0.44,1.02,0.322,4.70e-04,25,0.0016
DZIP1,3.58,2.86,0.9,0.41,-0.322,0.0024,25,0.0065
DSEL,3.39,2.71,0.41,0.38,-0.322,2.37e-05,25,1.13e-04
ADHFE1,3.31,2.65,0.32,0.2,-0.322,6.33e-10,25,1.23e-08
INCENP,2.77,3.46,0.15,0.41,0.322,2.57e-08,25,2.94e-07
OR51E2,4.01,3.21,0.94,0.79,-0.322,9.43e-04,25,0.0029
NAP1L5,4.56,3.65,1.44,0.77,-0.321,0.0236,25,0.0483
POLA1,5.69,7.11,0.43,0.57,0.321,5.21e-11,25,1.53e-09
TUSC5,2.93,2.35,0.65,0.15,-0.321,3.81e-04,25,0.0013
CD3EAP,4.86,6.07,0.19,0.53,0.321,2.40e-10,25,5.49e-09
NCAPG2,3.39,4.24,0.14,0.23,0.321,2.24e-14,25,4.23e-12
CHGB,3.26,2.61,0.39,0.19,-0.321,1.70e-07,25,1.52e-06
FLRT3,5.78,4.62,1.12,0.9,-0.321,6.52e-04,25,0.0021
GALNT12,8.18,6.55,0.66,0.72,-0.321,1.29e-07,25,1.19e-06
DCAF13,6.75,8.43,0.3,0.52,0.321,2.03e-13,25,2.00e-11
BOP1 /// LOC727967,6.27,7.84,0.23,0.66,0.321,7.06e-12,25,3.05e-10
RECK,3.53,2.83,0.42,0.36,-0.321,5.74e-06,25,3.24e-05
KRT20,12.6,10.09,1.22,1.43,-0.32,4.49e-06,25,2.62e-05
MS4A8B,4.1,3.29,0.76,0.75,-0.32,1.13e-04,25,4.51e-04
C1orf109,3.7,4.62,0.28,0.36,0.32,3.16e-10,25,6.86e-09
PTK7,2.79,3.48,0.17,0.55,0.32,3.46e-06,25,2.08e-05
PIGR,12.17,9.75,1.35,3.07,-0.32,0.0029,25,0.0076
LARGE,4.64,3.72,0.36,0.39,-0.32,7.92e-08,25,7.74e-07
SKAP1,4.35,5.43,0.57,1.01,0.32,4.30e-04,25,0.0015
C1orf105,2.2,2.74,0.21,0.75,0.32,0.0020,25,0.0055
FAM155B,2.9,3.62,0.24,0.51,0.32,4.34e-06,25,2.54e-05
PEG3 /// ZIM2,2.79,2.23,0.72,0.15,-0.32,0.0014,25,0.0041
HSPH1,7.41,9.24,0.34,0.63,0.32,6.17e-13,25,4.56e-11
GNA14,5.02,4.02,0.48,1.05,-0.32,9.04e-04,25,0.0028
LOC728554 /// THOC3,6.83,8.52,0.53,0.51,0.32,2.19e-13,25,2.11e-11
NOP16,4.84,6.04,0.28,0.24,0.32,4.60e-16,25,2.88e-13
BRIX1,6.3,7.86,0.53,0.41,0.319,2.55e-12,25,1.37e-10
SLC12A2,7.51,9.37,0.59,0.85,0.319,9.30e-09,25,1.22e-07
COL4A5,4.08,3.27,0.31,0.84,-0.319,4.17e-04,25,0.0014
C12orf66,3.16,3.95,0.16,0.29,0.319,1.35e-10,25,3.37e-09
FKBP11,4.56,5.69,0.58,0.41,0.319,1.32e-08,25,1.67e-07
TTF2,4.5,5.61,0.37,0.4,0.319,2.83e-10,25,6.30e-09
CLDN11,3.75,3.01,0.44,0.3,-0.319,1.12e-06,25,7.74e-06
LTV1,4.32,5.39,0.41,0.35,0.319,1.02e-10,25,2.68e-09
LEPR,3.91,3.13,0.46,0.29,-0.319,1.61e-06,25,1.06e-05
CYP4F12,5.01,4.02,0.64,0.45,-0.319,4.78e-06,25,2.76e-05
BID,6.05,7.54,0.39,0.51,0.319,1.73e-13,25,1.78e-11
ECSCR,5.58,4.48,0.71,0.51,-0.319,5.63e-06,25,3.19e-05
PHF16,3.62,4.52,0.17,0.36,0.319,2.88e-10,25,6.37e-09
CCDC113,2.79,3.48,0.13,0.41,0.319,3.15e-08,25,3.50e-07
TTLL6,3.39,2.72,0.63,0.16,-0.319,5.56e-05,25,2.40e-04
CACNA1D,2.71,3.38,0.22,0.42,0.319,3.45e-06,25,2.08e-05
CASD1,6.62,5.31,0.41,0.54,-0.318,4.05e-09,25,5.88e-08
RGPD1 /// RGPD2 /// RGPD3,4.27,3.42,1.0,1.27,-0.318,0.0030,25,0.0080
LPP,6.59,5.29,0.95,0.39,-0.318,2.95e-06,25,1.81e-05
TMEM82,4.26,3.42,0.61,0.25,-0.318,7.14e-07,25,5.29e-06
FAM91A1 /// FAM91A2,4.07,5.07,0.25,0.42,0.318,1.37e-10,25,3.41e-09
MYADML2,2.48,3.09,0.4,0.61,0.318,3.71e-04,25,0.0013
SERPING1,5.64,4.52,1.24,1.36,-0.318,0.0162,25,0.0348
GRIP1,4.65,3.73,0.84,0.96,-0.318,0.0033,25,0.0086
PTRF,5.99,4.81,1.65,0.77,-0.318,0.0059,25,0.0144
PHF7,3.09,2.48,0.35,0.3,-0.317,1.01e-06,25,7.12e-06
CHAF1A,4.89,6.09,0.39,0.38,0.317,7.41e-12,25,3.17e-10
BMP5,3.5,2.81,0.47,0.22,-0.317,4.39e-06,25,2.57e-05
LRRC31,5.59,4.49,1.02,1.02,-0.317,0.0013,25,0.0039
RPRM,3.28,2.63,1.6,0.69,-0.317,0.1079,25,0.1789
IGLJ3 /// IGLV3-19,3.97,3.18,1.33,1.41,-0.317,0.0847,25,0.1456
CCNI2,2.73,3.4,0.26,0.39,0.317,2.91e-06,25,1.79e-05
LOC653562 /// SLC6A10P /// SLC6A8,7.36,5.91,0.93,1.59,-0.317,3.49e-04,25,0.0012
ATP6V1C2,2.54,3.16,0.17,0.67,0.317,2.32e-04,25,8.45e-04
MCFD2,4.5,5.6,0.31,0.65,0.317,2.74e-07,25,2.31e-06
GULP1,5.51,4.42,0.6,0.8,-0.317,5.78e-05,25,2.48e-04
DONSON,5.47,6.81,0.4,0.45,0.317,2.59e-10,25,5.86e-09
SNX24,5.33,4.28,0.44,0.49,-0.317,9.50e-09,25,1.24e-07
GIMAP1,3.24,2.6,0.32,0.24,-0.316,8.70e-07,25,6.26e-06
ZNF259,5.71,7.11,0.2,0.49,0.316,1.89e-12,25,1.10e-10
C9orf24,5.26,4.22,0.67,0.81,-0.316,7.31e-05,25,3.06e-04
PCNXL2,2.77,3.45,0.16,0.25,0.316,1.50e-13,25,1.60e-11
PIRT,2.83,2.27,0.41,0.09,-0.316,4.77e-07,25,3.71e-06
TNFSF10,9.75,7.83,0.85,0.73,-0.316,3.49e-08,25,3.80e-07
LAIR2,2.73,3.4,0.15,0.72,0.316,9.00e-05,25,3.68e-04
DPYSL3,4.89,3.93,1.88,1.47,-0.316,0.0545,25,0.1000
TMEM198,3.69,4.6,0.28,1.0,0.316,5.21e-05,25,2.27e-04
SF3B3,4.26,5.3,0.17,0.35,0.316,7.23e-14,25,9.53e-12
DCLK1,3.05,2.45,0.47,0.13,-0.316,4.54e-06,25,2.64e-05
S100A11,8.41,10.46,0.74,0.44,0.316,2.39e-12,25,1.31e-10
TINAG,4.24,3.41,0.78,0.44,-0.316,4.71e-04,25,0.0016
SLC1A5,5.95,7.41,0.73,0.5,0.316,4.09e-09,25,5.93e-08
ARRDC4,6.75,5.42,0.33,0.48,-0.316,1.09e-11,25,4.30e-10
TM9SF4,4.95,6.16,0.27,0.58,0.315,3.38e-11,25,1.08e-09
YDJC,6.62,8.24,0.45,0.42,0.315,2.46e-12,25,1.33e-10
DIMT1L,4.48,5.58,0.5,0.34,0.315,5.87e-09,25,8.13e-08
C9orf125,6.77,5.44,0.44,1.0,-0.315,1.84e-05,25,9.01e-05
ZNF469,3.1,3.86,0.29,0.92,0.315,9.64e-04,25,0.0029
PALB2,5.3,6.59,0.28,0.37,0.315,1.66e-13,25,1.73e-11
WDR35,3.52,4.38,0.57,0.45,0.315,7.92e-06,25,4.30e-05
GPR120,5.04,4.05,0.92,0.94,-0.315,0.0027,25,0.0074
OTUB2,3.03,3.76,0.22,0.58,0.314,1.57e-06,25,1.04e-05
GRHL1,2.7,3.35,0.2,0.35,0.314,1.13e-07,25,1.07e-06
C4orf43,3.14,3.9,0.23,0.32,0.314,1.20e-10,25,3.09e-09
TRIM36,4.61,3.71,0.58,0.42,-0.314,4.44e-06,25,2.59e-05
VCL,6.07,4.88,1.51,0.38,-0.314,8.84e-04,25,0.0027
RIOK3,8.41,6.76,0.72,0.54,-0.314,1.91e-08,25,2.28e-07
SGOL1,2.4,2.99,0.19,0.33,0.314,4.45e-08,25,4.68e-07
SLC25A19,4.32,5.37,0.24,0.46,0.314,2.19e-11,25,7.57e-10
RELL2,3.65,4.54,0.34,0.9,0.314,3.14e-04,25,0.0011
ATIC,6.45,8.01,0.38,0.53,0.314,2.35e-14,25,4.37e-12
RPL41 /// RPL41P5,2.31,2.87,0.26,0.38,0.313,2.31e-05,25,1.10e-04
FGF19,2.38,2.95,0.26,0.69,0.313,5.59e-04,25,0.0018
ETHE1,9.16,7.37,1.04,0.59,-0.313,4.49e-07,25,3.53e-06
TUSC3,5.15,4.15,1.07,0.71,-0.313,0.0014,25,0.0042
CCDC107,6.86,5.52,0.66,0.49,-0.313,1.14e-07,25,1.07e-06
SERPINA9,2.84,2.28,1.14,0.23,-0.313,0.0296,25,0.0590
KLF2,8.27,6.66,0.76,0.74,-0.313,1.53e-07,25,1.39e-06
RPSA /// SNORA62,2.56,3.18,0.28,0.7,0.313,4.39e-04,25,0.0015
PAPSS2,8.44,6.8,1.2,0.84,-0.313,7.52e-06,25,4.11e-05
TMEM88,3.83,3.08,0.52,0.38,-0.313,1.03e-05,25,5.43e-05
PLD1,5.99,4.82,0.73,0.5,-0.313,3.20e-07,25,2.64e-06
CLECL1,3.46,2.78,0.61,0.25,-0.313,4.29e-05,25,1.91e-04
KCNT2,3.23,2.6,0.22,0.18,-0.313,3.57e-14,25,5.72e-12
CNNM4,6.91,5.57,1.11,0.48,-0.312,1.54e-05,25,7.69e-05
FRMD4B,5.3,4.27,0.38,0.45,-0.312,2.86e-08,25,3.21e-07
ZFP82,4.1,3.3,0.74,0.5,-0.312,3.96e-04,25,0.0014
RDM1,2.36,2.93,0.11,0.47,0.312,1.06e-05,25,5.54e-05
TNFRSF10A,4.47,5.55,0.7,0.65,0.312,1.62e-07,25,1.46e-06
SGCA,3.08,2.48,0.66,0.25,-0.312,2.37e-04,25,8.61e-04
ZBTB9,2.36,2.93,0.19,0.33,0.312,3.30e-07,25,2.71e-06
FAM189A1,3.14,2.53,0.24,0.3,-0.312,6.84e-08,25,6.82e-07
C20orf199,7.53,9.34,0.33,0.54,0.311,3.62e-13,25,3.12e-11
FYB,5.85,4.72,0.66,1.0,-0.311,1.21e-04,25,4.79e-04
PDRG1,6.44,7.99,0.28,0.75,0.311,1.77e-09,25,2.90e-08
KANK2,5.63,4.54,1.45,0.55,-0.311,0.0025,25,0.0067
SLC6A8,7.85,6.32,0.74,1.34,-0.311,1.37e-05,25,6.94e-05
C13orf23,6.36,7.89,0.41,0.69,0.311,3.34e-10,25,7.19e-09
MAP6,3.18,2.56,0.81,0.15,-0.311,0.0014,25,0.0040
POLR1A,4.2,5.21,0.21,0.4,0.311,1.17e-11,25,4.50e-10
ACSF2,7.11,5.73,0.95,0.76,-0.311,6.36e-05,25,2.70e-04
PLCD3,3.26,2.63,0.58,0.38,-0.311,9.99e-05,25,4.04e-04
GPR19,2.6,3.22,0.29,0.66,0.311,4.80e-04,25,0.0016
GPR89A /// GPR89B,3.79,4.7,0.43,0.43,0.311,2.17e-08,25,2.55e-07
PJA2,8.24,6.64,0.59,0.63,-0.311,4.24e-10,25,8.81e-09
LMBR1,4.41,5.47,0.21,0.3,0.311,1.51e-14,25,3.25e-12
SYT7,3.32,4.12,0.27,0.7,0.31,5.53e-06,25,3.14e-05
PRPF4,5.93,7.36,0.29,0.37,0.31,2.80e-14,25,4.97e-12
ZWINT,6.13,7.6,0.75,0.49,0.31,2.40e-08,25,2.76e-07
PHF14,4.05,5.02,0.18,0.46,0.31,9.74e-10,25,1.76e-08
MS4A7,5.15,4.15,0.8,1.04,-0.31,0.0028,25,0.0075
SLC1A4,4.09,5.07,0.28,0.46,0.31,1.67e-10,25,4.04e-09
URB1,3.03,3.75,0.18,0.31,0.31,8.02e-11,25,2.20e-09
ASPN,4.83,3.9,1.31,1.49,-0.31,0.0302,25,0.0599
GNG2,4.9,3.95,0.39,0.38,-0.31,2.83e-08,25,3.19e-07
EIF4EBP1,6.66,8.25,0.49,0.74,0.31,1.61e-09,25,2.68e-08
SLC19A1,3.07,3.81,0.24,0.33,0.31,2.12e-09,25,3.39e-08
MLXIPL,4.37,5.41,0.21,0.7,0.31,4.78e-07,25,3.72e-06
GTPBP10,3.37,4.18,0.17,0.42,0.31,6.11e-10,25,1.20e-08
SEMA3B,6.47,5.22,0.34,0.67,-0.31,4.05e-10,25,8.45e-09
TRIM22,5.28,4.26,0.67,0.71,-0.309,4.58e-05,25,2.02e-04
AXL,5.29,4.27,1.0,0.82,-0.309,0.0013,25,0.0038
MITF,5.71,4.61,1.17,0.89,-0.309,0.0028,25,0.0074
CNTNAP2,2.96,3.67,0.19,0.94,0.309,0.0013,25,0.0037
C7orf10,3.72,3.0,0.4,0.32,-0.309,4.86e-07,25,3.77e-06
GPRASP2,4.06,3.28,1.04,0.45,-0.309,0.0043,25,0.0110
CD48,4.94,3.99,0.82,0.63,-0.309,4.04e-04,25,0.0014
NPRL3,3.69,4.57,0.16,0.29,0.309,6.49e-14,25,8.85e-12
DUSP26,3.42,2.76,0.47,0.2,-0.309,1.25e-06,25,8.53e-06
SULT1A1 /// SULT1A2 /// SULT1A3 /// SULT1A4,9.87,7.97,0.8,0.72,-0.309,4.94e-08,25,5.11e-07
TBC1D10C,4.59,3.7,0.86,0.51,-0.309,3.14e-04,25,0.0011
MSTO1,3.66,4.53,0.23,0.54,0.308,1.29e-07,25,1.19e-06
CENPM,4.56,5.64,0.78,0.69,0.308,2.24e-06,25,1.42e-05
ZNF304,3.47,2.8,0.43,0.31,-0.308,3.40e-06,25,2.05e-05
CENPP,2.94,3.64,0.23,0.23,0.308,1.47e-09,25,2.50e-08
DIS3,5.19,6.43,0.25,0.47,0.308,7.75e-11,25,2.14e-09
